임신부터 출산 후 24개월까지 — 전체 콘텐츠 인벤토리,,,,,,,,,,,,,,,,,,,,,,,,,,
한 행은 하나의 정보 또는 행동 단위입니다. 필터로 시기·주제·유형·행동 단계·대상·중요도를 조합해 검토하세요. 의료·행정 내용은 공식 출처 확인 후 사용하세요.,,,,,,,,,,,,,,,,,,,,,,,,,,
번호,대시기,세부 시기,시점 기준,시작 값,종료 값,단위,주제,세부 주제,태그,콘텐츠 유형,행동 단계,대상,제목,요약,왜 필요한가,어떻게 하는가,중요도,체크 가능,개인화 조건,관련 항목,공식 출처,출처 상태,검토 상태,예상 비용,바우처 사용 가능,메모
259,신생아기,생후 0~4주,출생일,0,28,일,아기 건강·돌봄,응급 신호,,병원 확인 신호,실행,아기,경련,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,경련,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
260,신생아기,생후 0~4주,출생일,0,28,일,육아용품,초기 사용 점검,,육아용품,결과 확인,부부,젖병과 세척용품 실제 사용량 점검,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,구매·선물·대여·기관 제공 여부를 확인한 후 준비하세요.,권장,예,공통,젖병과 세척용품 실제 사용량 점검,,편집 검토 필요,초안,,,
261,신생아기,생후 0~4주,출생일,0,28,일,육아용품,초기 사용 점검,,육아용품,결과 확인,부부,기저귀 사이즈와 피부 반응 확인,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,구매·선물·대여·기관 제공 여부를 확인한 후 준비하세요.,권장,예,공통,기저귀 사이즈와 피부 반응 확인,,편집 검토 필요,초안,,,
262,신생아기,생후 0~4주,출생일,0,28,일,육아용품,초기 사용 점검,,육아용품,결과 확인,부부,의류 수량과 세탁 주기 조정,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,구매·선물·대여·기관 제공 여부를 확인한 후 준비하세요.,권장,예,공통,의류 수량과 세탁 주기 조정,,편집 검토 필요,초안,,,
263,신생아기,생후 0~4주,출생일,0,28,일,육아용품,초기 사용 점검,,육아용품,결과 확인,부부,사용하지 않는 물품의 반품·교환 확인,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,구매·선물·대여·기관 제공 여부를 확인한 후 준비하세요.,권장,예,공통,사용하지 않는 물품의 반품·교환 확인,,편집 검토 필요,초안,,,
264,영아 초기,생후 1~3개월,출생일,1,3,개월,예방접종·건강검진,월령별 일정,,할 일,신청·예약,아기,월령별 예방접종 일정 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,월령별 예방접종 일정 확인,https://nip.kdca.go.kr/,공식 출처 확인 필요,초안,,,
265,영아 초기,생후 1~3개월,출생일,1,3,개월,예방접종·건강검진,월령별 일정,,할 일,신청·예약,아기,접종기관 예약과 준비물 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,접종기관 예약과 준비물 확인,https://nip.kdca.go.kr/,공식 출처 확인 필요,초안,,,
266,영아 초기,생후 1~3개월,출생일,1,3,개월,예방접종·건강검진,월령별 일정,,할 일,신청·예약,아기,접종 후 관찰사항 기록,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,접종 후 관찰사항 기록,https://nip.kdca.go.kr/,공식 출처 확인 필요,초안,,,
267,영아 초기,생후 1~3개월,출생일,1,3,개월,예방접종·건강검진,월령별 일정,,할 일,신청·예약,아기,영유아 건강검진 시기 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,영유아 건강검진 시기 확인,https://nip.kdca.go.kr/,공식 출처 확인 필요,초안,,,
268,영아 초기,생후 1~3개월,출생일,1,3,개월,아기 건강·돌봄,성장·발달,,가이드,기록,아기,키·몸무게 성장 기록,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,키·몸무게 성장 기록,,편집 검토 필요,초안,,,
269,영아 초기,생후 1~3개월,출생일,1,3,개월,아기 건강·돌봄,성장·발달,,가이드,기록,아기,목 가누기 등 발달 변화 관찰,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,목 가누기 등 발달 변화 관찰,,편집 검토 필요,초안,,,
270,영아 초기,생후 1~3개월,출생일,1,3,개월,아기 건강·돌봄,성장·발달,,가이드,기록,아기,수유·수면 패턴 변화 기록,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,수유·수면 패턴 변화 기록,,편집 검토 필요,초안,,,
271,영아 초기,생후 1~3개월,출생일,1,3,개월,아기 건강·돌봄,성장·발달,,가이드,기록,아기,터미타임 등 놀이를 의료진 안내 범위에서 시도,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,터미타임 등 놀이를 의료진 안내 범위에서 시도,,편집 검토 필요,초안,,,
272,영아 초기,생후 1~3개월,출생일,1,3,개월,산모 건강·회복,산후 회복,,검사·진료,실행,산모,산후진료 방문,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,권장,예,공통,산후진료 방문,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
273,영아 초기,생후 1~3개월,출생일,1,3,개월,산모 건강·회복,산후 회복,,검사·진료,실행,산모,출혈·통증·상처 회복 상담,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,권장,예,공통,출혈·통증·상처 회복 상담,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
274,영아 초기,생후 1~3개월,출생일,1,3,개월,산모 건강·회복,산후 회복,,검사·진료,실행,산모,피임과 다음 임신 계획 상담,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,권장,예,공통,피임과 다음 임신 계획 상담,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
275,영아 초기,생후 1~3개월,출생일,1,3,개월,산모 건강·회복,산후 회복,,검사·진료,실행,산모,산후 우울·불안 상태 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,권장,예,공통,산후 우울·불안 상태 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
276,영아 초기,생후 1~3개월,출생일,1,3,개월,육아용품,놀이·발달,,육아용품,비교·결정,부부,초점책·모빌 사용 시기 확인,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,구매·선물·대여·기관 제공 여부를 확인한 후 준비하세요.,선택,예,공통,초점책·모빌 사용 시기 확인,,편집 검토 필요,초안,,,
277,영아 초기,생후 1~3개월,출생일,1,3,개월,육아용품,놀이·발달,,육아용품,비교·결정,부부,딸랑이 등 초기 장난감 안전성 확인,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,구매·선물·대여·기관 제공 여부를 확인한 후 준비하세요.,선택,예,공통,딸랑이 등 초기 장난감 안전성 확인,,편집 검토 필요,초안,,,
278,영아 초기,생후 1~3개월,출생일,1,3,개월,보호자·부부 역할,생활 적응,,할 일,실행,부부,야간 돌봄 교대 방식 점검,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,야간 돌봄 교대 방식 점검,,편집 검토 필요,초안,,,
279,영아 초기,생후 1~3개월,출생일,1,3,개월,보호자·부부 역할,생활 적응,,할 일,실행,부부,가사·수유·휴식 분담 조정,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,가사·수유·휴식 분담 조정,,편집 검토 필요,초안,,,
280,영아 초기,생후 1~3개월,출생일,1,3,개월,보호자·부부 역할,생활 적응,,할 일,실행,부부,부부의 피로와 감정 상태 대화,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,부부의 피로와 감정 상태 대화,,편집 검토 필요,초안,,,
281,영아 중기,생후 4~6개월,출생일,4,6,개월,아기 건강·돌봄,이유식 준비,,가이드,알아보기,아기,이유식 시작 신호와 시기 상담,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,이유식 시작 신호와 시기 상담,,편집 검토 필요,초안,,,
282,영아 중기,생후 4~6개월,출생일,4,6,개월,아기 건강·돌봄,이유식 준비,,가이드,알아보기,아기,알레르기와 새로운 음식 기록 방법 확인,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,알레르기와 새로운 음식 기록 방법 확인,,편집 검토 필요,초안,,,
283,영아 중기,생후 4~6개월,출생일,4,6,개월,아기 건강·돌봄,이유식 준비,,가이드,알아보기,아기,이유식 도구의 최소 구성 정하기,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,이유식 도구의 최소 구성 정하기,,편집 검토 필요,초안,,,
284,영아 중기,생후 4~6개월,출생일,4,6,개월,예방접종·건강검진,월령별 일정,,할 일,신청·예약,아기,4~6개월 예방접종 일정 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,4~6개월 예방접종 일정 확인,https://nip.kdca.go.kr/,공식 출처 확인 필요,초안,,,
285,영아 중기,생후 4~6개월,출생일,4,6,개월,예방접종·건강검진,월령별 일정,,할 일,신청·예약,아기,영유아 건강검진 예약,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,영유아 건강검진 예약,https://nip.kdca.go.kr/,공식 출처 확인 필요,초안,,,
286,영아 중기,생후 4~6개월,출생일,4,6,개월,예방접종·건강검진,월령별 일정,,할 일,신청·예약,아기,접종·검진 결과 기록,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,접종·검진 결과 기록,https://nip.kdca.go.kr/,공식 출처 확인 필요,초안,,,
287,영아 중기,생후 4~6개월,출생일,4,6,개월,육아용품,이유식·수유,,육아용품,준비,부부,이유식 의자 필요 시기 확인,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,구매·선물·대여·기관 제공 여부를 확인한 후 준비하세요.,권장,예,공통,이유식 의자 필요 시기 확인,,편집 검토 필요,초안,,,
288,영아 중기,생후 4~6개월,출생일,4,6,개월,육아용품,이유식·수유,,육아용품,준비,부부,이유식 용기·스푼·턱받이 준비,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,구매·선물·대여·기관 제공 여부를 확인한 후 준비하세요.,권장,예,공통,이유식 용기·스푼·턱받이 준비,,편집 검토 필요,초안,,,
289,영아 중기,생후 4~6개월,출생일,4,6,개월,육아용품,이유식·수유,,육아용품,준비,부부,젖병 단계와 사용 상태 점검,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,구매·선물·대여·기관 제공 여부를 확인한 후 준비하세요.,권장,예,공통,젖병 단계와 사용 상태 점검,,편집 검토 필요,초안,,,
290,영아 중기,생후 4~6개월,출생일,4,6,개월,육아용품,놀이·발달,,육아용품,비교·결정,부부,치발기와 손에 쥐는 장난감 안전성 확인,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,구매·선물·대여·기관 제공 여부를 확인한 후 준비하세요.,권장,예,공통,치발기와 손에 쥐는 장난감 안전성 확인,,편집 검토 필요,초안,,,
291,영아 중기,생후 4~6개월,출생일,4,6,개월,육아용품,놀이·발달,,육아용품,비교·결정,부부,뒤집기·바닥놀이 공간 준비,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,구매·선물·대여·기관 제공 여부를 확인한 후 준비하세요.,권장,예,공통,뒤집기·바닥놀이 공간 준비,,편집 검토 필요,초안,,,
292,영아 중기,생후 4~6개월,출생일,4,6,개월,아기 건강·돌봄,안전,,할 일,준비,부부,뒤집기 이후 낙상 위험 점검,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,뒤집기 이후 낙상 위험 점검,,편집 검토 필요,초안,,,
293,영아 중기,생후 4~6개월,출생일,4,6,개월,아기 건강·돌봄,안전,,할 일,준비,부부,작은 물건과 질식 위험 요소 치우기,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,작은 물건과 질식 위험 요소 치우기,,편집 검토 필요,초안,,,
294,영아 중기,생후 4~6개월,출생일,4,6,개월,아기 건강·돌봄,안전,,할 일,준비,부부,카시트 사용 상태 재점검,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,카시트 사용 상태 재점검,,편집 검토 필요,초안,,,
295,영아 중기,생후 7~12개월,출생일,7,12,개월,아기 건강·돌봄,이유식·식사,,가이드,실행,아기,이유식 단계와 식사 횟수 상담,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,이유식 단계와 식사 횟수 상담,,편집 검토 필요,초안,,,
296,영아 중기,생후 7~12개월,출생일,7,12,개월,아기 건강·돌봄,이유식·식사,,가이드,실행,아기,다양한 식감과 알레르기 반응 기록,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,다양한 식감과 알레르기 반응 기록,,편집 검토 필요,초안,,,
297,영아 중기,생후 7~12개월,출생일,7,12,개월,아기 건강·돌봄,이유식·식사,,가이드,실행,아기,물과 컵 사용 연습 시기 확인,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,물과 컵 사용 연습 시기 확인,,편집 검토 필요,초안,,,
298,영아 중기,생후 7~12개월,출생일,7,12,개월,예방접종·건강검진,월령별 일정,,할 일,신청·예약,아기,7~12개월 예방접종 일정 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,7~12개월 예방접종 일정 확인,https://nip.kdca.go.kr/,공식 출처 확인 필요,초안,,,
299,영아 중기,생후 7~12개월,출생일,7,12,개월,예방접종·건강검진,월령별 일정,,할 일,신청·예약,아기,영유아 건강검진 일정 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,영유아 건강검진 일정 확인,https://nip.kdca.go.kr/,공식 출처 확인 필요,초안,,,
300,영아 중기,생후 7~12개월,출생일,7,12,개월,예방접종·건강검진,월령별 일정,,할 일,신청·예약,아기,다음 접종·검진 일정 저장,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,다음 접종·검진 일정 저장,https://nip.kdca.go.kr/,공식 출처 확인 필요,초안,,,
301,영아 중기,생후 7~12개월,출생일,7,12,개월,아기 건강·돌봄,성장·발달,,가이드,기록,부부,앉기·기기·잡고 서기 등 발달 관찰,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,앉기·기기·잡고 서기 등 발달 관찰,,편집 검토 필요,초안,,,
302,영아 중기,생후 7~12개월,출생일,7,12,개월,아기 건강·돌봄,성장·발달,,가이드,기록,부부,옹알이와 상호작용 변화 기록,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,옹알이와 상호작용 변화 기록,,편집 검토 필요,초안,,,
303,영아 중기,생후 7~12개월,출생일,7,12,개월,아기 건강·돌봄,성장·발달,,가이드,기록,부부,낯가림과 분리불안 이해,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,낯가림과 분리불안 이해,,편집 검토 필요,초안,,,
304,영아 중기,생후 7~12개월,출생일,7,12,개월,아기 건강·돌봄,성장·발달,,가이드,기록,부부,성장·발달 우려를 진료 시 질문,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,성장·발달 우려를 진료 시 질문,,편집 검토 필요,초안,,,
305,영아 중기,생후 7~12개월,출생일,7,12,개월,아기 건강·돌봄,생활 안전,,할 일,준비,부부,콘센트·모서리·서랍 안전 점검,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,콘센트·모서리·서랍 안전 점검,,편집 검토 필요,초안,,,
306,영아 중기,생후 7~12개월,출생일,7,12,개월,아기 건강·돌봄,생활 안전,,할 일,준비,부부,계단과 추락 위험 차단,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,계단과 추락 위험 차단,,편집 검토 필요,초안,,,
307,영아 중기,생후 7~12개월,출생일,7,12,개월,아기 건강·돌봄,생활 안전,,할 일,준비,부부,음식과 작은 물건 질식 위험 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,음식과 작은 물건 질식 위험 확인,,편집 검토 필요,초안,,,
308,영아 중기,생후 7~12개월,출생일,7,12,개월,아기 건강·돌봄,생활 안전,,할 일,준비,부부,욕실·주방 접근 관리,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,욕실·주방 접근 관리,,편집 검토 필요,초안,,,
309,영아 중기,생후 7~12개월,출생일,7,12,개월,병원·조리원·돌봄 서비스,어린이집,,할 일,결과 확인,부부,입소대기 상태 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,어린이집 이용 계획,입소대기 상태 확인,,병원·기관 확인 필요,초안,,,
310,영아 중기,생후 7~12개월,출생일,7,12,개월,병원·조리원·돌봄 서비스,어린이집,,할 일,결과 확인,부부,시설 상담·방문 질문 준비,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,어린이집 이용 계획,시설 상담·방문 질문 준비,,병원·기관 확인 필요,초안,,,
311,영아 중기,생후 7~12개월,출생일,7,12,개월,병원·조리원·돌봄 서비스,어린이집,,할 일,결과 확인,부부,적응 일정과 준비물 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,어린이집 이용 계획,적응 일정과 준비물 확인,,병원·기관 확인 필요,초안,,,
312,영아 중기,생후 7~12개월,출생일,7,12,개월,육아용품,놀이·발달,,육아용품,비교·결정,부부,월령과 발달에 맞는 장난감 선택,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,구매·선물·대여·기관 제공 여부를 확인한 후 준비하세요.,선택,예,공통,월령과 발달에 맞는 장난감 선택,,편집 검토 필요,초안,,,
313,영아 중기,생후 7~12개월,출생일,7,12,개월,육아용품,놀이·발달,,육아용품,비교·결정,부부,보행기 등 선택용품 필요성 검토,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,구매·선물·대여·기관 제공 여부를 확인한 후 준비하세요.,선택,예,공통,보행기 등 선택용품 필요성 검토,,편집 검토 필요,초안,,,
314,영아 중기,생후 7~12개월,출생일,7,12,개월,육아용품,놀이·발달,,육아용품,비교·결정,부부,장난감 세척·보관 방법 정하기,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,구매·선물·대여·기관 제공 여부를 확인한 후 준비하세요.,선택,예,공통,장난감 세척·보관 방법 정하기,,편집 검토 필요,초안,,,
315,영아 후기,생후 13~24개월,출생일,13,24,개월,예방접종·건강검진,돌 이후 일정,,할 일,신청·예약,아기,돌 이후 예방접종 일정 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,돌 이후 예방접종 일정 확인,https://nip.kdca.go.kr/,공식 출처 확인 필요,초안,,,
316,영아 후기,생후 13~24개월,출생일,13,24,개월,예방접종·건강검진,돌 이후 일정,,할 일,신청·예약,아기,영유아 건강검진 일정 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,영유아 건강검진 일정 확인,https://nip.kdca.go.kr/,공식 출처 확인 필요,초안,,,
317,영아 후기,생후 13~24개월,출생일,13,24,개월,예방접종·건강검진,돌 이후 일정,,할 일,신청·예약,아기,구강검진과 치아관리 시기 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,구강검진과 치아관리 시기 확인,,편집 검토 필요,초안,,,
318,영아 후기,생후 13~24개월,출생일,13,24,개월,아기 건강·돌봄,식사·수면,,가이드,실행,부부,유아식 전환과 식사 습관 점검,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,유아식 전환과 식사 습관 점검,,편집 검토 필요,초안,,,
319,영아 후기,생후 13~24개월,출생일,13,24,개월,아기 건강·돌봄,식사·수면,,가이드,실행,부부,우유·간식 섭취 상담,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,우유·간식 섭취 상담,,편집 검토 필요,초안,,,
320,영아 후기,생후 13~24개월,출생일,13,24,개월,아기 건강·돌봄,식사·수면,,가이드,실행,부부,낮잠과 밤잠 패턴 조정,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,낮잠과 밤잠 패턴 조정,,편집 검토 필요,초안,,,
321,영아 후기,생후 13~24개월,출생일,13,24,개월,아기 건강·돌봄,식사·수면,,가이드,실행,부부,컵과 수저 사용 연습,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,컵과 수저 사용 연습,,편집 검토 필요,초안,,,
322,영아 후기,생후 13~24개월,출생일,13,24,개월,아기 건강·돌봄,언어·사회성,,가이드,기록,아기,말과 몸짓의 발달 변화 관찰,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,말과 몸짓의 발달 변화 관찰,,편집 검토 필요,초안,,,
323,영아 후기,생후 13~24개월,출생일,13,24,개월,아기 건강·돌봄,언어·사회성,,가이드,기록,아기,책 읽기와 상호작용 습관 만들기,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,책 읽기와 상호작용 습관 만들기,,편집 검토 필요,초안,,,
324,영아 후기,생후 13~24개월,출생일,13,24,개월,아기 건강·돌봄,언어·사회성,,가이드,기록,아기,분리불안·감정표현 대응,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,분리불안·감정표현 대응,,편집 검토 필요,초안,,,
